Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R00742_r	C00002_r + C00024_r + C00288_r  <=> C00008_r + C00080_r + C00083_r + C00009_r 		-50.00	 50.00	  0.00
R01717_c	C00251_c  <=> C00885_c 		-50.00	 50.00	  0.00
R08165_c	C00026_c + C00080_c + C00885_c  <=> C00011_c + C16519_c 		-50.00	 50.00	  0.00
R08166_c	C16519_c  <=> C00022_c + C05817_c 		-50.00	 50.00	  0.00
R04031_c	C00001_c + C02730_c  -> C05817_c 		  0.00	 50.00	  0.00
R03460_c	C00074_c + C03175_c  <=> C00009_c + C00080_c + C01269_c 	putative_PBANKA_0304000	-50.00	 50.00	  0.00
R02412_c	C00002_c + C00493_c  -> C00008_c + C03175_c 	putative_PBANKA_0304000	  0.00	 50.00	  0.00
R02413_c	C00006_c + C00493_c  <=> C00005_c + C00080_c + C02637_c 	putative_PBANKA_0304000 or putative_PBANKA_1308500	-50.00	 50.00	  0.00
R03084_c	C00944_c  <=> C00001_c + C02637_c 	putative_PBANKA_0304000	-50.00	 50.00	  0.00
R03083_c	C04691_c  <=> C00009_c + C00080_c + C00944_c 	putative_PBANKA_0304000	-50.00	 50.00	  0.00
R01826_c	C00001_c + C00074_c + C00279_c  <=> C00009_c + C00080_c + C04691_c 		-50.00	 50.00	  0.00
R01302_c	C00022_c + C00156_c  <=> C00251_c 		-50.00	 50.00	  0.00
R01036_c	C00003_c + C00116_c  <=> C00004_c + C00080_c + C00577_c 	putative_PBANKA_1033400 or putative_PBANKA_1140500	-50.00	 50.00	  0.00
R00089_c	C00002_c  -> C00013_c + C00575_c 	putative_PBANKA_1227600	  0.00	 50.00	  0.00
R00004_c	C00001_c + C00013_c  -> 2 C00009_c + 2 C00080_c 	putative_PBANKA_0414100 or putative_PBANKA_1320500 or putative_PBANKA_1449800	  0.00	 50.00	  0.00
R01126_c	C00001_c + C00130_c  -> C00009_c + C00080_c + C00294_c 		  0.00	 50.00	  0.00
R08969_r	C00157_r + C00195_r  <=> C00641_r + C00550_r 	putative_PBANKA_1123900 or putative_PBANKA_1124000	-50.00	 50.00	  0.00
R08969_c	C00157_c + C00195_c  <=> C00641_c + C00550_c 	putative_PBANKA_1123900 or putative_PBANKA_1124000	-50.00	 50.00	  0.00
R06519_r	C00007_r + 2 C00080_r + 2 C00999_r + C12126_r  -> 2 C00001_r + 2 C00996_r + C00195_r 		  0.00	 50.00	  0.00
R02541_r	C00001_r + C00550_r  -> C00588_r + C00195_r 	putative_PBANKA_1453100	  0.00	 50.00	  0.00
R01313_c	C00001_c + C00157_c  -> C00080_c + C04230_c + C00060_c 	putative_PBANKA_0306200	  0.00	  0.00	  0.00
R01315_c	C00001_c + C00157_c  -> C00080_c + C00162_c + C04230_c 	putative_PBANKA_0306200	  0.00	  0.00	  0.00
R01030_c	C00001_c + C00670_c  -> C00114_c + C00093_c 	putative_PBANKA_1035900	  0.00	 50.00	  0.00
R00649_c	C00019_c + C00073_c  <=> C00021_c + C03172_c 	putative_PBANKA_1237000	-50.00	 50.00	  0.00
R04772_c	C00019_c + C05335_c  <=> C00021_c + C05690_c 	putative_PBANKA_1237000	-50.00	 50.00	  0.00
R00390_r	C00002_r + C00010_r + C00080_r + C00162_r  -> C00040_r + C00013_r + C00020_r 		  0.00	 50.00	  0.00
R11063_c	C00155_c + C03172_c  <=> 2 C00073_c + C00080_c 		-50.00	 50.00	  0.00
Tc2eC03657_c	C03657_c  <=> C03657_e 		-50.00	 50.00	  0.00
Tc2eC00060_c	C00060_c  <=> C00060_e 		-50.00	 50.00	  0.00
Tc2eC00266_c	C00266_c  <=> C00266_e 		-50.00	 50.00	  0.00
Tc2eC00445_c	C00445_c  <=> C00445_e 		-50.00	 50.00	  0.00
Tc2eC00493_c	C00493_c  <=> C00493_e 		-50.00	 50.00	  0.00
Tc2eC00885_c	C00885_c  <=> C00885_e 		-50.00	 50.00	  0.00
Tc2eC00944_c	C00944_c  <=> C00944_e 		-50.00	 50.00	  0.00
Tc2eC02637_c	C02637_c  <=> C02637_e 		-50.00	 50.00	  0.00
Tc2eC03172_c	C03172_c  <=> C03172_e 		-50.00	 50.00	  0.00
Tc2eC04874_c	C04874_c  <=> C04874_e 		-50.00	 50.00	  0.00
Tc2eC05690_c	C05690_c  <=> C05690_e 		-50.00	 50.00	  0.00
Tc2eC05817_c	C05817_c  <=> C05817_e 		-50.00	 50.00	  0.00
Tc2eC16519_c	C16519_c  <=> C16519_e 		-50.00	 50.00	  0.00
